wunschrufnummer.vodafone.de ,Expiration date ,Type,Env.,Status
precontentdev.askonlinept.vodafone.com ,,,,No FQDN in Drupal 
contentdev.askonlinept.vodafone.com ,,,,No FQDN in Drupal 
srm.vodafone.com,,,,No FQDN in Drupal 
roombooking-dus.vodafone.com ,5/17/2021,Public,Prod,
ppm.vodafone.com ,5/17/2021,Public,Prod,
roombooking-int-dus.vodafone.com,5/17/2021,Public,Prod,
contentdev.askonlinegrp.vodafone.com ,5/17/2021,Public,Prod,
accept.askonlineie.vodafone.com,5/17/2021,Public,Prod,
acceptsso.askonlineie.vodafone.com ,5/17/2021,Public,Prod,
sato.vodafone.comÿ ,,,,No FQDN in Drupal 
rpasprod.vodafone.com ,,,,No FQDN in Drupal 
mm-ds-test.vodafone.com ,5/17/2021,Public,Prod,
rpase2e.vodafone.com ,5/17/2021,Public,Prod,ÿBIG IP 
rpasuat.vodafone.com ,,,,No FQDN in Drupal 
roamingmaps.vodafone.com ,5/17/2021,Public,Prod,
eltadminpp.rpas.vodafone.com ,,,,No FQDN in Drupal 
portal.localsap.vodafone.com ,5/17/2021,Public,Prod,
mysite.workspace-dev.vodafone.com ,5/17/2021,Public,Prod,
ssoapi-stage.vodafone.com ,,,,No FQDN in Drupal 
roamingmaps-stage.vodafone.com ,5/17/2021,Public,Prod,
mm-test.vodafone.com ,5/17/2021,Public,Prod,
itsm.vodafone.com ,5/17/2021,Public,Prod,
mm-as-test.vodafone.com ,5/17/2021,Public,Prod,
eltadminuat.rpas.vodafone.com ,5/17/2021,Public,Prod,
itsm-stage76.vodafone.com ,5/17/2021,Public,Prod,
orgchart.a.evo.vodafone.com ,5/17/2021,Public,Prod,
justshare-api-stage.vodafone.com ,5/17/2021,Public,Prod,
rpaspp.vodafone.com ,5/17/2021,Public,Prod,
mm-gem-test.vodafone.com ,5/17/2021,Public,Prod,
eltadmine2e.rpas.vodafone.com ,5/17/2021,Public,Prod,
eltadmin.rpas.vodafone.com ,5/17/2021,Public,Prod,
itsm-reporting.vodafone.com,5/17/2021,Public,Prod,
